,Data,Nazwa,ISIN,Waluta,Kurs otwarcia,Kurs max,Kurs min,Kurs zamknięcia,Zmiana,Wolumen,Liczba Transakcji,Obrót,Liczba otwartych pozycji,Wartość otwartych pozycji,Cena nominalna
0,2015-12-18,11BIT,PL11BTS00015,PLN,68.1,69.79,66.0,67.0,-0.37,5644,67,381.21,0,0,0
1,2015-12-21,11BIT,PL11BTS00015,PLN,67.0,69.5,67.0,69.4,3.58,6242,112,423.77,0,0,0
2,2015-12-22,11BIT,PL11BTS00015,PLN,69.98,72.0,69.91,71.4,2.88,6481,118,458.39,0,0,0
3,2015-12-23,11BIT,PL11BTS00015,PLN,72.0,72.5,69.22,71.1,-0.42,8559,110,612.68,0,0,0
4,2015-12-28,11BIT,PL11BTS00015,PLN,70.01,71.85,70.0,70.16,-1.32,8274,90,579.94,0,0,0
5,2015-12-29,11BIT,PL11BTS00015,PLN,70.17,71.6,70.01,70.6,0.63,2660,59,188.24,0,0,0
6,2015-12-30,11BIT,PL11BTS00015,PLN,71.1,71.1,70.0,70.6,0.0,1266,39,88.89,0,0,0
7,2016-01-04,11BIT,PL11BTS00015,PLN,71.0,71.0,70.0,70.0,-0.85,9282,67,650.32,0,0,0
8,2016-01-05,11BIT,PL11BTS00015,PLN,70.01,75.9,70.0,73.8,5.43,17334,190,1262.88,0,0,0
9,2016-01-07,11BIT,PL11BTS00015,PLN,70.9,74.0,70.1,72.5,-1.76,7530,113,540.18,0,0,0
10,2016-01-08,11BIT,PL11BTS00015,PLN,72.51,73.5,70.23,72.0,-0.69,5059,87,363.68,0,0,0
11,2016-01-11,11BIT,PL11BTS00015,PLN,72.49,72.49,70.65,72.4,0.56,3429,76,245.92,0,0,0
12,2016-01-12,11BIT,PL11BTS00015,PLN,72.4,74.97,72.4,73.4,1.38,5458,109,400.77,0,0,0
13,2016-01-13,11BIT,PL11BTS00015,PLN,74.77,77.48,74.76,75.95,3.47,14031,209,1068.84,0,0,0
14,2016-01-14,11BIT,PL11BTS00015,PLN,75.0,75.95,73.5,75.2,-0.99,3041,87,225.87,0,0,0
15,2016-01-15,11BIT,PL11BTS00015,PLN,75.9,75.95,73.61,74.85,-0.47,6371,105,477.78,0,0,0
16,2016-01-18,11BIT,PL11BTS00015,PLN,74.0,74.75,73.1,73.8,-1.4,1829,63,134.98,0,0,0
17,2016-01-19,11BIT,PL11BTS00015,PLN,74.99,75.5,73.8,75.45,2.24,6593,93,492.59,0,0,0
18,2016-01-20,11BIT,PL11BTS00015,PLN,75.44,75.44,72.87,73.9,-2.05,14961,107,1106.83,0,0,0
19,2016-01-21,11BIT,PL11BTS00015,PLN,74.55,75.25,73.0,74.0,0.14,15044,101,1108.16,0,0,0
20,2016-01-22,11BIT,PL11BTS00015,PLN,74.6,75.44,74.1,74.9,1.22,2637,89,197.2,0,0,0
21,2016-01-25,11BIT,PL11BTS00015,PLN,74.9,77.61,74.9,77.5,3.47,7715,225,592.83,0,0,0
22,2016-01-26,11BIT,PL11BTS00015,PLN,78.0,82.49,78.0,82.0,5.81,17878,412,1438.19,0,0,0
23,2016-01-27,11BIT,PL11BTS00015,PLN,83.25,84.48,82.0,82.5,0.61,22002,324,1825.78,0,0,0
24,2016-01-28,11BIT,PL11BTS00015,PLN,83.0,83.5,79.65,81.51,-1.2,36087,377,2919.0,0,0,0
25,2016-01-29,11BIT,PL11BTS00015,PLN,81.5,88.45,81.0,85.95,5.45,34148,624,2900.23,0,0,0
26,2016-02-01,11BIT,PL11BTS00015,PLN,87.5,87.77,84.1,86.66,0.83,20589,341,1757.5,0,0,0
27,2016-02-02,11BIT,PL11BTS00015,PLN,86.15,86.66,85.5,86.0,-0.76,11460,163,987.09,0,0,0
28,2016-02-03,11BIT,PL11BTS00015,PLN,85.15,85.9,84.5,85.0,-1.16,16954,188,1439.83,0,0,0
29,2016-02-04,11BIT,PL11BTS00015,PLN,84.9,85.2,81.8,82.0,-3.53,21336,243,1770.25,0,0,0
30,2016-02-05,11BIT,PL11BTS00015,PLN,81.7,83.89,78.0,79.5,-3.05,23267,361,1877.66,0,0,0
31,2016-02-08,11BIT,PL11BTS00015,PLN,79.0,79.0,75.05,75.91,-4.52,23301,397,1780.17,0,0,0
32,2016-02-09,11BIT,PL11BTS00015,PLN,76.0,76.5,73.61,75.8,-0.14,8654,158,649.92,0,0,0
33,2016-02-10,11BIT,PL11BTS00015,PLN,76.49,79.78,76.0,78.61,3.71,6535,178,513.25,0,0,0
34,2016-02-11,11BIT,PL11BTS00015,PLN,79.3,79.3,74.4,76.4,-2.81,5330,142,407.96,0,0,0
35,2016-02-12,11BIT,PL11BTS00015,PLN,76.8,77.99,76.0,76.4,0.0,1336,81,102.79,0,0,0
36,2016-02-15,11BIT,PL11BTS00015,PLN,76.4,77.0,75.0,76.4,0.0,1349,64,102.5,0,0,0
37,2016-02-16,11BIT,PL11BTS00015,PLN,75.93,76.55,74.0,74.99,-1.85,7382,136,551.14,0,0,0
38,2016-02-17,11BIT,PL11BTS00015,PLN,74.0,74.44,71.25,74.39,-0.8,11997,229,879.57,0,0,0
39,2016-02-18,11BIT,PL11BTS00015,PLN,75.7,75.7,73.5,74.0,-0.52,5511,120,411.81,0,0,0
40,2016-02-19,11BIT,PL11BTS00015,PLN,73.02,73.6,72.1,73.5,-0.68,5538,94,405.38,0,0,0
41,2016-02-22,11BIT,PL11BTS00015,PLN,72.52,74.9,72.52,74.75,1.7,2469,67,182.46,0,0,0
42,2016-02-23,11BIT,PL11BTS00015,PLN,74.75,75.85,74.0,75.7,1.27,1630,64,122.05,0,0,0
43,2016-02-24,11BIT,PL11BTS00015,PLN,75.7,76.0,73.57,74.95,-0.99,1673,57,125.11,0,0,0
44,2016-02-25,11BIT,PL11BTS00015,PLN,74.0,74.95,73.8,74.0,-1.27,4551,64,336.9,0,0,0
45,2016-02-26,11BIT,PL11BTS00015,PLN,74.4,76.25,74.4,75.5,2.03,2348,67,177.27,0,0,0
46,2016-02-29,11BIT,PL11BTS00015,PLN,75.5,76.15,74.5,74.5,-1.32,4696,56,351.95,0,0,0
47,2016-03-01,11BIT,PL11BTS00015,PLN,74.11,75.45,74.11,74.99,0.66,7050,50,525.71,0,0,0
48,2016-03-02,11BIT,PL11BTS00015,PLN,75.77,76.0,74.5,75.0,0.01,1912,44,143.73,0,0,0
49,2016-03-03,11BIT,PL11BTS00015,PLN,75.97,75.97,74.0,74.5,-0.67,2381,75,177.71,0,0,0
50,2016-03-04,11BIT,PL11BTS00015,PLN,74.0,74.7,74.0,74.1,-0.54,2642,56,195.68,0,0,0
51,2016-03-07,11BIT,PL11BTS00015,PLN,74.5,74.98,74.0,74.59,0.66,6976,80,520.03,0,0,0
52,2016-03-08,11BIT,PL11BTS00015,PLN,75.2,78.0,75.0,78.0,4.57,7882,148,606.0,0,0,0
53,2016-03-09,11BIT,PL11BTS00015,PLN,78.5,81.6,78.0,80.05,2.63,11526,246,920.75,0,0,0
54,2016-03-10,11BIT,PL11BTS00015,PLN,80.45,81.7,78.6,80.78,0.91,8696,96,702.91,0,0,0
55,2016-03-11,11BIT,PL11BTS00015,PLN,79.1,80.9,79.1,79.5,-1.58,2965,68,237.39,0,0,0
56,2016-03-14,11BIT,PL11BTS00015,PLN,79.62,81.5,79.3,80.8,1.64,3500,89,282.26,0,0,0
57,2016-03-15,11BIT,PL11BTS00015,PLN,80.8,80.8,78.88,79.29,-1.87,1882,52,150.38,0,0,0
58,2016-03-16,11BIT,PL11BTS00015,PLN,79.49,80.2,79.0,80.0,0.9,2836,36,226.65,0,0,0
59,2016-03-17,11BIT,PL11BTS00015,PLN,80.14,80.19,78.5,80.19,0.24,1597,51,127.51,0,0,0
60,2016-03-18,11BIT,PL11BTS00015,PLN,80.15,80.8,78.7,80.7,0.64,3159,69,252.41,0,0,0
61,2016-03-21,11BIT,PL11BTS00015,PLN,80.8,82.5,79.15,79.8,-1.12,7192,165,583.22,0,0,0
62,2016-03-22,11BIT,PL11BTS00015,PLN,75.51,78.5,74.5,78.0,-2.26,11723,222,905.7,0,0,0
63,2016-03-23,11BIT,PL11BTS00015,PLN,78.3,78.9,69.0,71.0,-8.97,111714,1175,8041.39,0,0,0
64,2016-03-24,11BIT,PL11BTS00015,PLN,69.99,72.29,68.11,71.81,1.14,11447,232,806.99,0,0,0
65,2016-03-29,11BIT,PL11BTS00015,PLN,72.29,72.29,70.85,71.51,-0.42,3663,96,261.99,0,0,0
66,2016-03-30,11BIT,PL11BTS00015,PLN,71.55,72.35,71.55,72.2,0.96,4185,92,301.13,0,0,0
67,2016-03-31,11BIT,PL11BTS00015,PLN,72.45,72.7,72.0,72.4,0.28,5717,101,412.92,0,0,0
68,2016-04-01,11BIT,PL11BTS00015,PLN,71.98,72.01,71.0,71.35,-1.45,6514,112,465.88,0,0,0
69,2016-04-04,11BIT,PL11BTS00015,PLN,71.0,71.35,70.7,71.0,-0.49,5037,84,358.01,0,0,0
